Coral ID,Treatment,DF1 (flacon tube),DF2,DF3 (microplate),630nm ,Average 630,663nm,Average 663,Chl a,Chl C2,Chl a+C2,Chl a w/ dilution,Chl C2 w/ dilution,Chl a+C2 w/ dilution,Surface area,Chl a w/ SA,Chl C2 w/ SA,Chl a+C2 w/ SA,Symbiont denisty,AverageSymbiont/
OFAV_1,NA,25,1,2,0.008,0.008,0.026,0.026,0.29206,0.6753,0.96736,14.603,33.765,48.368,872.674306,12743.66289,29465.84794,42209.51083,111891.25,
OFAV_1,NA,25,1,2,0.008,,0.026,,,,,0,0,0,872.674306,0,0,0,111891.25,
OFAV_2,NA,25,1,2,0.005,0.005,0.018,0.0175,0.196825,0.455925,0.65275,9.84125,22.79625,32.6375,625.1354,6152.113755,14250.74286,20402.85662,117134.02,
OFAV_2,NA,25,1,2,0.005,,0.017,,,,,0,0,0,625.1354,0,0,0,117134.02,
OFAV_3,NA,25,1,2,0.027,0.0275,0.083,0.083,0.93109,2.148645,3.079735,46.5545,107.43225,153.98675,1247.453536,58074.57564,134016.7401,192091.3158,60088.375,
OFAV_3,NA,25,1,2,0.028,,0.083,,,,,0,0,0,1247.453536,0,0,0,60088.375,
OFAV_69,NA,25,1,2,0.031,0.031,0.076,0.076,0.84884,1.94631,2.79515,42.442,97.3155,139.7575,626.577367,26593.19661,60975.68976,87568.88637,114771.625,
OFAV_69,NA,25,1,2,0.031,,0.076,,,,,0,0,0,626.577367,0,0,0,114771.625,
OFAV1.1,R15,25,1,2,0.008,0.0045,0.013,0.0095,0.105705,0.24102,0.346725,5.28525,12.051,17.33625,682.6514,3607.983312,8226.632021,11834.61533,519800,
OFAV1.1,R15,25,1,2,0.001,,0.006,,,,,0,0,0,682.6514,0,0,0,512740,
OFAV1.2,P15,25,1,2,0.015,0.018,0.047,0.0515,0.577125,1.329795,1.90692,28.85625,66.48975,95.346,501.285173,14465.21027,33330.32583,47795.5361,857510,
OFAV1.2,P15,25,1,2,0.021,,0.056,,,,,0,0,0,501.285173,0,0,0,957245,
OFAV1.3,Control,25,1,2,0.019,0.0185,0.022,0.0225,0.245335,0.54237,0.787705,12.26675,27.1185,39.38525,592.420727,7267.076953,16065.56149,23332.63844,617975,
OFAV1.3,Control,25,1,2,0.018,,0.023,,,,,0,0,0,592.420727,0,0,0,610640,
OFAV1.4,R4,25,1,2,0.003,0.003,0.013,0.0135,0.152385,0.354825,0.50721,7.61925,17.74125,25.3605,888.868784,6772.513482,15769.64331,22542.1568,644770,
OFAV1.4,R4,25,1,2,0.003,,0.014,,,,,0,0,0,888.868784,0,0,0,583350,
OFAV1.5,P4,25,1,2,0.024,0.0375,0.046,0.06,0.6618,1.489275,2.151075,33.09,74.46375,107.55375,682.277233,22576.55364,50804.92131,73381.47495,763250,
OFAV1.5,P4,25,1,2,0.051,,0.074,,,,,0,0,0,682.277233,0,0,0,842920,
OFAV2.1,Control,25,1,2,0.018,0.0135,0.06,0.051,0.57429,1.332585,1.906875,28.7145,66.62925,95.34375,1050.507544,30164.79887,69994.52978,100159.3286,1000535,
OFAV2.1,Control,25,1,2,0.009,,0.042,,,,,0,0,0,1050.507544,0,0,0,1021600,
OFAV2.2,P15,25,1,2,0.027,0.023,0.052,0.0515,0.573925,1.311645,1.88557,28.69625,65.58225,94.2785,1896.526734,54423.20529,124378.4904,178801.6957,914325,
OFAV2.2,P15,25,1,2,0.019,,0.051,,,,,0,0,0,1896.526734,0,0,0,988110,
OFAV2.3,P4,25,1,2,0.021,0.0205,0.048,0.05,0.55838,1.280085,1.838465,27.919,64.00425,91.92325,1203.433615,33598.6631,77024.86595,110623.5291,898685,
OFAV2.3,P4,25,1,2,0.02,,0.052,,,,,0,0,0,1203.433615,0,0,0,928310,
OFAV2.4,R4,25,1,2,0.007,0.0135,0.021,0.1605,1.825875,4.29894,6.124815,91.29375,214.947,306.24075,1071.748771,97843.96436,230369.1831,328213.1474,695110,
OFAV2.4,R4,25,1,2,0.02,,0.3,,,,,0,0,0,1071.748771,0,0,0,665580,
OFAV2.5,R15,25,1,2,0.008,0.013,0.02,0.0245,0.271715,0.616515,0.88823,13.58575,30.82575,44.4115,1156.116925,15706.71551,35638.1713,51344.88681,891715,
OFAV2.5,R15,25,1,2,0.018,,0.029,,,,,0,0,0,1156.116925,0,0,0,869375,
OFAV3.1,R15,25,1,2,0.059,0.07,0.076,0.085,0.92675,2.04855,2.9753,46.3375,102.4275,148.765,751.110028,34804.56092,76934.32239,111738.8833,743125,
OFAV3.1,R15,25,1,2,0.081,,0.094,,,,,0,0,0,751.110028,0,0,0,570970,
OFAV3.2,P4,25,1,2,0.099,0.0855,0.082,0.085,0.91683,1.992285,2.909115,45.8415,99.61425,145.45575,1182.149369,54191.5003,117758.9228,171950.4231,904845,
OFAV3.2,P4,25,1,2,0.072,,0.088,,,,,0,0,0,1182.149369,0,0,0,878690,
OFAV3.3,Control,25,1,2,0.116,0.1455,0.13,0.1605,1.741395,3.81978,5.561175,87.06975,190.989,278.05875,703.743303,61274.75346,134407.2297,195681.9832,805665,
OFAV3.3,Control,25,1,2,0.175,,0.191,,,,,0,0,0,703.743303,0,0,0,690195,
OFAV3.4,P15,25,1,2,0.158,0.1375,0.164,0.1465,1.586495,3.46956,5.056055,79.32475,173.478,252.80275,970.336028,76971.66284,168331.9535,245303.6163,769160,
OFAV3.4,P15,25,1,2,0.117,,0.129,,,,,0,0,0,970.336028,0,0,0,852695,
OFAV3.5,R4,25,1,2,0.056,0.1265,0.06,0.1315,1.422085,3.10314,4.525225,71.10425,155.157,226.26125,731.420469,52007.10388,113485.0057,165492.1096,840125,
OFAV3.5,R4,25,1,2,0.197,,0.203,,,,,0,0,0,731.420469,0,0,0,929395,
OFAV69.1,P4,25,1,2,0.072,0.0865,0.127,0.1385,1.527695,3.43797,4.965665,76.38475,171.8985,248.28325,653.59118,49924.39889,112351.3435,162275.7423,601255,
OFAV69.1,P4,25,1,2,0.101,,0.15,,,,,0,0,0,653.59118,0,0,0,848020,
OFAV69.2,R4,25,1,2,0.073,0.1385,0.099,0.1485,1.608715,3.52011,5.128825,80.43575,176.0055,256.44125,936.714036,75345.29602,164866.8223,240212.1183,867445,
OFAV69.2,R4,25,1,2,0.204,,0.198,,,,,0,0,0,936.714036,0,0,0,907760,
OFAV69.3,P15,25,1,2,0.087,0.0815,0.15,0.1215,1.336585,2.99559,4.332175,66.82925,149.7795,216.60875,641.493212,42870.51024,96082.53255,138953.0428,795805,
OFAV69.3,P15,25,1,2,0.076,,0.093,,,,,0,0,0,641.493212,0,0,0,749790,
OFAV69.4,Control,25,1,2,0.069,0.118,0.095,0.134,1.4561,3.20172,4.65782,72.805,160.086,232.891,808.648606,58873.66176,129453.3207,188326.9825,826285,
OFAV69.4,Control,25,1,2,0.167,,0.173,,,,,0,0,0,808.648606,0,0,0,1005095,
OFAV69.5,R15,25,1,2,0.048,0.0595,0.052,0.063,0.68201,1.490685,2.172695,34.1005,74.53425,108.63475,245.757193,8380.44316,18317.32806,26697.77122,515310,
OFAV69.5,R15,25,1,2,0.071,,0.074,,,,,0,0,0,245.757193,0,0,0,481570,