Date,Sample ID ,Treatment,Falcon Tube Vol,Initial volume,Dilutoin factor 1,Pipette volume,Well volume,Dilution factor 2,Cells/uL,Symbiont density,Percent change to control
3/13/25,OFAV_1_sacrifice,NA,25,1000,25,100,200,2,2237.825,111891.25,0
3/13/25,OFAV_2_sacrifice,NA,25,1000,25,100,200,2,2342.6804,117134.02,0
3/13/25,OFAV_3_sacrifice,NA,25,1000,25,100,200,2,1201.7675,60088.375,0
3/13/25,OFAV_69_sacrifice,NA,25,1000,25,100,200,2,2295.4325,114771.625,0
5/28/25,OFAV1.1,R15,25,1000,25,10,200,20,1039.6,519800,0.774655598
5/28/25,OFAV1.1,R15,25,1000,25,10,200,20,1025.48,512740,0.771552795
5/28/25,OFAV1.2,P15,25,1000,25,10,200,20,1715.02,857510,0.863402153
5/28/25,OFAV1.2,P15,25,1000,25,10,200,20,1914.49,957245,0.877634232
5/28/25,OFAV1.3,Control,25,1000,25,10,200,20,1235.95,617975,0.810455083
5/28/25,OFAV1.3,Control,25,1000,25,10,200,20,1221.28,610640,0.808178272
5/28/25,OFAV1.4,R4,25,1000,25,10,200,20,1289.54,644770,0.818332087
5/28/25,OFAV1.4,R4,25,1000,25,10,200,20,1166.7,583350,0.79920456
5/28/25,OFAV1.5,P4,25,1000,25,10,200,20,1526.5,763250,0.846532565
5/28/25,OFAV1.5,P4,25,1000,25,10,200,20,1685.84,842920,0.861037797
5/28/25,OFAV2.1,Control,25,1000,25,10,200,20,2001.07,1000535,0.88816858
5/28/25,OFAV2.1,Control,25,1000,25,10,200,20,2043.2,1021600,0.890474501
5/28/25,OFAV2.2,P15,25,1000,25,10,200,20,1828.65,914325,0.877624204
5/28/25,OFAV2.2,P15,25,1000,25,10,200,20,1976.22,988110,0.886762354
5/28/25,OFAV2.3,P4,25,1000,25,10,200,20,1797.37,898685,0.875494472
5/28/25,OFAV2.3,P4,25,1000,25,10,200,20,1856.62,928310,0.879467796
5/28/25,OFAV2.4,R4,25,1000,25,10,200,20,1390.22,695110,0.839030873
5/28/25,OFAV2.4,R4,25,1000,25,10,200,20,1331.16,665580,0.831889104
5/28/25,OFAV2.5,R15,25,1000,25,10,200,20,1783.43,891715,0.874521288
5/28/25,OFAV2.5,R15,25,1000,25,10,200,20,1738.75,869375,0.871296909
5/28/25,OFAV3.1,R15,25,1000,25,10,200,20,1486.25,743125,0.919140959
5/28/25,OFAV3.1,R15,25,1000,25,10,200,20,1141.94,570970,0.894760889
5/28/25,OFAV3.2,P4,25,1000,25,10,200,20,1809.69,904845,0.933592632
5/28/25,OFAV3.2,P4,25,1000,25,10,200,20,1757.38,878690,0.931615957
5/28/25,OFAV3.3,Control,25,1000,25,10,200,20,1611.33,805665,0.925417667
5/28/25,OFAV3.3,Control,25,1000,25,10,200,20,1380.39,690195,0.912940002
5/28/25,OFAV3.4,P15,25,1000,25,10,200,20,1538.2,769100,0.921871831
5/28/25,OFAV3.4,P15,25,1000,25,10,200,20,1705.39,852695,0.929531222
5/28/25,OFAV3.5,R4,25,1000,25,10,200,20,1680.25,840125,0.928476864
5/28/25,OFAV3.5,R4,25,1000,25,10,200,20,1858.79,929395,0.935346785
5/28/25,OFAV69.1,P4,25,1000,25,10,200,20,1202.51,601255,0.80911323
5/28/25,OFAV69.1,P4,25,1000,25,10,200,20,1696.04,848020,0.864659295
5/28/25,OFAV69.2,R4,25,1000,25,10,200,20,1734.89,867445,0.867690026
5/28/25,OFAV69.2,R4,25,1000,25,10,200,20,1815.52,907760,0.873566113
5/28/25,OFAV69.3,P15,25,1000,25,10,200,20,1591.61,795805,0.855779211
5/28/25,OFAV69.3,P15,25,1000,25,10,200,20,1499.58,749790,0.846928307
5/28/25,OFAV69.4,Control,25,1000,25,10,200,20,1652.57,826285,0.861099227
5/28/25,OFAV69.4,Control,25,1000,25,10,200,20,2010.19,1005095,0.885810172
5/28/25,OFAV69.5,R15,25,1000,25,10,200,20,1030.62,515310,0.777276542
5/28/25,OFAV69.5,R15,25,1000,25,10,200,20,963.14,481570,0.761671979