Date,Sample ID,Treatment,Sample (mL),Protein mg/mL (Before Standardization),Protein mg/mL (After Standardization),DF1 (Starting Volume/Falcon Tube),Total protein (mg),Surface Area,Total protein (mg)/Surface Area (mm2),
3/7/25,OFAV_1_sacrifice,NA,0.025,0.598,0.435,25,10.875,872.674306,0.012461694,
3/7/25,OFAV_1_sacrifice,NA,0.025,0.582,0.419,25,10.475,872.674306,0.012003333,
3/7/25,OFAV_2_sacrifice,NA,0.025,0.453,0.292,25,7.3,625.1354,0.01167747,
3/7/25,OFAV_2_sacrifice,NA,0.025,0.492,0.33,25,8.25,625.1354,0.013197141,
3/7/25,OFAV_3_sacrifice,NA,0.025,0.735,0.571,25,14.275,1247.453536,0.011443312,
3/7/25,OFAV_3_sacrifice,NA,0.025,0.718,0.553,25,13.825,1247.453536,0.011082577,
3/7/25,OFAV_69_sacrifice,NA,0.025,0.503,0.341,25,8.525,626.577367,0.013605662,
3/7/25,OFAV_69_sacrifice,NA,0.025,0.659,0.495,25,12.375,626.577367,0.019750155,
4/28/25,OFAV1.1,R15,0.025,0.143,0.142,25,3.55,682.6514,0.019750155,
4/28/25,OFAV1.1,R15,0.025,0.144,0.144,25,3.6,682.6514,0.019750155,
4/28/25,OFAV1.2,P15,0.025,0.305,0.411,25,10.275,501.285173,0.019750155,
4/28/25,OFAV1.2,P15,0.025,0.3,0.403,25,10.075,501.285173,0.019750155,
4/28/25,OFAV1.3,Control,0.025,0.159,0.169,25,4.225,592.420727,0.019750155,
4/28/25,OFAV1.3,Control,0.025,0.158,0.168,25,4.2,592.420727,0.019750155,
4/28/25,OFAV1.4,R4,0.025,0.17,0.187,25,4.675,888.868784,0.019750155,
4/28/25,OFAV1.4,R4,0.025,0.177,0.199,25,4.975,888.868784,0.019750155,
4/28/25,OFAV1.5,P4,0.025,0.23,0.288,25,7.2,682.277233,0.019750155,
4/28/25,OFAV1.5,P4,0.025,0.235,0.295,25,7.375,682.277233,0.019750155,
4/28/25,OFAV2.1,Control,0.025,0.376,0.53,25,13.25,1050.507544,0.019750155,
4/28/25,OFAV2.1,Control,0.025,0.396,0.564,25,14.1,1050.507544,0.019750155,
4/28/25,OFAV2.2,P15,0.025,0.304,0.41,25,10.25,1896.526734,0.019750155,
4/28/25,OFAV2.2,P15,0.025,0.306,0.414,25,10.35,1896.526734,0.019750155,
4/28/25,OFAV2.3,P4,0.025,0.365,0.512,25,12.8,1203.433615,0.019750155,
4/28/25,OFAV2.3,P4,0.025,0.376,0.53,25,13.25,1203.433615,0.019750155,
4/28/25,OFAV2.4,R4,0.025,0.213,0.258,25,6.45,1071.748771,0.019750155,
4/28/25,OFAV2.4,R4,0.025,0.205,0.245,25,6.125,1071.748771,0.019750155,
4/28/25,OFAV2.5,R15,0.025,0.176,0.196,25,4.9,1156.116925,0.019750155,
4/28/25,OFAV2.5,R15,0.025,0.176,0.197,25,4.925,1156.116925,0.019750155,
4/28/25,OFAV3.1,R15,0.025,0.366,0.237,25,5.925,751.110028,0.019750155,
4/28/25,OFAV3.1,R15,0.025,0.383,0.253,25,6.325,751.110028,0.019750155,
4/28/25,OFAV3.2,P4,0.025,0.518,0.38,25,9.5,1182.149369,0.019750155,
4/28/25,OFAV3.2,P4,0.025,0.502,0.364,25,9.1,1182.149369,0.019750155,
4/28/25,OFAV3.3,Control,0.025,0.336,0.209,25,5.225,703.743303,0.019750155,
4/28/25,OFAV3.3,Control,0.025,0.341,0.214,25,5.35,703.743303,0.019750155,
4/28/25,OFAV3.4,P15,0.025,0.594,0.451,25,11.275,970.336028,0.019750155,
4/28/25,OFAV3.4,P15,0.025,0.562,0.42,25,10.5,970.336028,0.019750155,
4/28/25,OFAV3.5,R4,0.025,0.568,0.427,25,10.675,731.420469,0.019750155,
4/28/25,OFAV3.5,R4,0.025,0.516,0.377,25,9.425,731.420469,0.019750155,
4/28/25,OFAV69.1,P4,0.025,0.395,0.264,25,6.6,653.59118,0.019750155,
4/28/25,OFAV69.1,P4,0.025,0.408,0.276,25,6.9,653.59118,0.019750155,
4/28/25,OFAV69.2,R4,0.025,0.52,0.381,25,9.525,936.714036,0.019750155,
4/28/25,OFAV69.2,R4,0.025,0.543,0.403,25,10.075,936.714036,0.019750155,
4/28/25,OFAV69.3,P15,0.025,0.468,0.332,25,8.3,641.493212,0.019750155,
4/28/25,OFAV69.3,P15,0.025,0.472,0.337,25,8.425,641.493212,0.019750155,
4/28/25,OFAV69.4,Control,0.025,0.555,0.414,25,10.35,808.648606,0.019750155,
4/28/25,OFAV69.4,Control,0.025,0.53,0.391,25,9.775,808.648606,0.019750155,
4/28/25,OFAV69.5,R15,0.025,0.14,0.025,25,0.625,245.757193,0.019750155,
4/28/25,OFAV69.5,R15,0.025,0.14,0.026,25,0.65,245.757193,0.019750155,