Date,Week Subset,Collection Time,Sample ID,Sample Location,Avg_TA_Sump,Avg_TA_Chamber,Delta_TA,pH,Benchtop pH,Notes,QA/QC
2/12/25,1,1600,OFAV_1.1,SUMP,2912.2,2652.6,259.60,8.02,,MDC,
2/12/25,1,1600,OFAV_1.2,SUMP,2848.85,2846.55,2.30,8.07,,MDC,
2/12/25,1,1600,OFAV_1.3,SUMP,2839.5,2845.35,-5.85,8.1,,MDC,
2/12/25,1,1600,OFAV_1.4,SUMP,2842.25,2834.05,8.20,8.07,,MDC,
2/12/25,1,1600,OFAV_1.5,SUMP,2727.5,2704.8,22.70,8.09,,MDC,
2/12/25,1,1600,OFAV_2.1,SUMP,2840.4,2695.65,144.75,8.07,,MDC,
2/12/25,1,1600,OFAV_2.2,SUMP,2822.7,2843.1,-20.40,8.04,,MDC,
2/12/25,1,1600,OFAV_2.3,SUMP,2827.9,2811.15,16.75,8.02,,MDC,
2/12/25,1,1600,OFAV_2.4,SUMP,2815.3,2840.5,-25.20,8.09,,MDC,
2/12/25,1,1600,OFAV_2.5,SUMP,2628.1,2706.3,-78.20,8.04,,MDC,
2/14/25,1,1400,OFAV_1.1,SUMP,2848.45,2598.55,249.90,8.09,,ET,
2/14/25,1,1400,OFAV_1.2,SUMP,2767.15,2891.45,-124.30,8.12,,ET,
2/14/25,1,1400,OFAV_1.3,SUMP,2860.7,2841.4,19.30,8.08,,ET,
2/14/25,1,1400,OFAV_1.4,SUMP,2842.95,2862.5,-19.55,8.02,,ET,
2/14/25,1,1400,OFAV_1.5,SUMP,2446.05,2579,-132.95,8.11,,ET,
2/14/25,1,1400,OFAV_2.1,SUMP,2996.2,2641.7,354.50,8.11,,ET,
2/14/25,1,1400,OFAV_2.2,SUMP,3302.75,3016.35,-43.35,8.12,,ET,
2/14/25,1,1400,OFAV_2.3,SUMP,2973,2972.15,-251.15,8.03,,ET,
2/14/25,1,1400,OFAV_2.4,SUMP,2879.35,2986.85,-466.05,8.07,,ET,
2/14/25,1,1400,OFAV_2.5,SUMP,2394.2,2569,195.05,8.04,,ET,
2/18/25,2,1200,OFAV_1.1,SUMP,2721,2421.55,227.50,7.67,,ET,
2/18/25,2,1200,OFAV_1.2,SUMP,2520.8,2750.7,-563.50,8.03,,ET,
2/18/25,2,1200,OFAV_1.3,SUMP,2764.05,2692.85,-1.25,7.78,,ET,
2/18/25,2,1200,OFAV_1.4,SUMP,2649.05,2710.85,-48.80,7.61,,ET,
2/18/25,2,1200,OFAV_1.5,SUMP,2187.2,2322,365.55,7.68,,ET,
2/18/25,2,1200,OFAV_2.1,SUMP,2691.6,2658.65,-39.85,7.85,,ET,
2/18/25,2,1200,OFAV_2.2,SUMP,2662.05,2687,-130.65,7.59,,ET,
2/18/25,2,1200,OFAV_2.3,SUMP,2687.55,2684.95,-45.90,7.51,,ET,
2/18/25,2,1200,OFAV_2.4,SUMP,2618.8,2681.85,-26.30,7.93,,ET,
2/18/25,2,1200,OFAV_2.5,SUMP,2556.35,2650.7,-5.75,7.54,,ET,
2/21/25,2,1200,OFAV_1.1,SUMP,2639.05,2601.1,39.35,,adjusted to CRM (- 20) ,ET,
2/21/25,2,1200,OFAV_1.2,SUMP,2655.55,2698.05,-290.75,,adjusted to CRM (- 20) ,ET,
2/21/25,2,1200,OFAV_1.3,SUMP,2644.95,2638.95,168.80,,adjusted to CRM (- 20) ,ET,
2/21/25,2,1200,OFAV_1.4,SUMP,2640.45,2638.15,26.15,,adjusted to CRM (- 20) ,ET,
2/21/25,2,1200,OFAV_1.5,SUMP,2407.3,2519.55,144.35,,adjusted to CRM (- 20) ,ET,
2/21/25,2,1200,OFAV_2.1,SUMP,2807.75,2505.75,61.85,,adjusted to CRM (- 20) ,ET,
2/21/25,2,1200,OFAV_2.2,SUMP,2664.3,2815.25,-359.90,,adjusted to CRM (- 20) ,ET,
2/21/25,2,1200,OFAV_2.3,SUMP,2663.9,2691.55,102.60,,adjusted to CRM (- 20) ,ET,
2/21/25,2,1200,OFAV_2.4,SUMP,2567.6,2667.35,-2.40,,adjusted to CRM (- 20) ,ET,
2/21/25,2,1200,OFAV_2.5,SUMP,2455.35,2350.3,306.85,,adjusted to CRM (- 20) ,ET,
2/24/25,3,1200,OFAV_1.1,SUMP,2794.15,2749.45,-256.10,7.95,,ET,
2/24/25,3,1200,OFAV_1.2,SUMP,2664.95,2648.3,-300.95,8.02,,ET,
2/24/25,3,1200,OFAV_1.3,SUMP,2657.15,2590.8,53.70,8.05,,ET,
2/24/25,3,1200,OFAV_1.4,SUMP,2493.35,2598.8,-160.05,8,,ET,
2/24/25,3,1200,OFAV_1.5,SUMP,2347.35,2283.6,545.90,8.03,,ET,
2/24/25,3,1200,OFAV_2.1,SUMP,2644.5,2828.05,-183.05,8.03,,ET,
2/24/25,3,1200,OFAV_2.2,SUMP,2438.75,2546.7,253.65,8.06,,ET,
2/24/25,3,1200,OFAV_2.3,SUMP,2829.5,2364.9,140.10,8.02,,ET,
2/24/25,3,1200,OFAV_2.4,SUMP,2645,2644.2,-132.30,7.98,,ET,
2/26/25,3,1200,OFAV_1.1,SUMP,2800.35,2774.6,-480.85,7.98,,ET,
2/26/25,3,1200,OFAV_1.2,SUMP,2505,2459.75,326.95,8.03,get from flashdrive ,ET,
2/26/25,3,1200,OFAV_1.3,SUMP,2511.9,2494.6,87.05,8.03,,ET,
2/26/25,3,1200,OFAV_1.4,SUMP,2327.35,2562.85,94.95,8.04,,ET,
2/26/25,3,1200,OFAV_1.5,SUMP,2293.75,2157,162.70,8.03,,ET,
2/26/25,3,1200,OFAV_2.1,SUMP,2786.7,2659.1,-169.15,8.02,,ET,
2/26/25,3,1200,OFAV_2.2,SUMP,2581.65,2494.85,28.00,8.05,,ET,
2/26/25,3,1200,OFAV_2.3,SUMP,2657.8,2536.45,12.80,8.05,,ET,
2/26/25,3,1200,OFAV_2.4,SUMP,2319.7,2544.2,-51.60,8.04,,ET,
2/26/25,3,1200,OFAV_2.5,SUMP,2489.95,2224.2,299.35,7.97,,ET,
2/28/25,3,1200,OFAV_1.1,SUMP,2522.85,2538.6,-585.35,8.05,,ET,
2/28/25,3,1200,OFAV_1.2,SUMP,2549.25,2530.25,-50.40,8.07,,ET,
2/28/25,3,1200,OFAV_1.3,SUMP,2492.6,2580.45,-84.30,8.05,,ET,
2/28/25,3,1200,OFAV_1.4,SUMP,2523.55,2573.65,-125.55,8.07,,ET,
2/28/25,3,1200,OFAV_1.5,SUMP,1953.25,2545.8,-63.80,8.07,,ET,
2/28/25,3,1200,OFAV_2.1,SUMP,2479.85,2499.1,-377.85,8.07,,ET,
2/28/25,3,1200,OFAV_2.2,SUMP,2496.15,2506.25,-150.25,8.08,,ET,
2/28/25,3,1200,OFAV_2.3,SUMP,2448.1,2518.6,-156.50,8.07,,ET,
2/28/25,3,1200,OFAV_2.4,SUMP,2482,2594.05,-276.30,8.06,,ET,
2/28/25,3,1200,OFAV_2.5,SUMP,2121.25,2442.95,-228.85,8.03,,ET,
3/3/25,4,1200,OFAV_1.1,SUMP,2356,2409.8,17.40,8.08,,ET,
3/3/25,4,1200,OFAV_1.2,SUMP,2362.1,2392.5,-31.10,8.15,,ET,
3/3/25,4,1200,OFAV_1.3,SUMP,2317.75,2378.6,-24.75,8.07,,ET,
3/3/25,4,1200,OFAV_1.4,SUMP,2351.1,2262.25,77.10,8.11,,ET,
3/3/25,4,1200,OFAV_1.5,SUMP,2214.1,2179,87.85,8.12,,ET,
3/3/25,4,1200,OFAV_2.2,SUMP,2427.2,2648.2,-226.75,8.14,,ET,
3/3/25,4,1200,OFAV_2.3,SUMP,2361.4,2399.75,3.20,8.13,,ET,
3/3/25,4,1200,OFAV_2.4,SUMP,2353.85,2492.3,-35.45,8.12,,ET,
3/3/25,4,1200,OFAV_2.5,SUMP,2339.35,2495,-215.45,8.07,,ET,
3/5/25,4,1200,OFAV_1.1,SUMP,2266.85,2218.95,413.55,8.09,,ET,
3/5/25,4,1200,OFAV_1.2,SUMP,2511.15,2528.6,-29.90,8.14,,ET,
3/5/25,4,1200,OFAV_1.3,SUMP,2421.45,2507.15,-112.40,8.09,,ET,
3/5/25,4,1200,OFAV_1.4,SUMP,2402.95,2583,-34.00,8.08,,ET,
3/5/25,4,1200,OFAV_1.5,SUMP,2456.85,2583.7,-130.35,8.13,,ET,
3/5/25,4,1200,OFAV_2.1,SUMP,2279.55,2242.15,126.30,8.12,,ET,
3/5/25,4,1200,OFAV_2.2,SUMP,2632.5,2623.9,-66.60,8.1,,ET,
3/5/25,4,1200,OFAV_2.3,SUMP,2498.7,2596.4,-37.20,8.11,,ET,
3/5/25,4,1200,OFAV_2.4,SUMP,2394.75,2549.6,-20.15,8.12,,ET,
3/5/25,4,1200,OFAV_2.5,SUMP,2549,2664.3,-160.65,8.05,,ET,
3/7/25,4,1200,OFAV_1.1,SUMP,2453.35,2172.4,322.90,8.1,,ET,
3/7/25,4,1200,OFAV_1.2,SUMP,2368.45,2525.95,-112.05,8.17,,ET,
3/7/25,4,1200,OFAV_1.3,SUMP,2557.3,2619.05,-84.05,8.05,,ET,
3/7/25,4,1200,OFAV_1.4,SUMP,2559.2,2585.8,-16.65,8.09,,ET,
3/7/25,4,1200,OFAV_1.5,SUMP,2529.45,2628.4,-371.50,8.13,,ET,
3/7/25,4,1200,OFAV_2.1,SUMP,2503.65,2515.25,98.10,8.15,,ET,
3/7/25,4,1200,OFAV_2.2,SUMP,2495.3,2648.2,-160.50,8.13,,ET,
3/7/25,4,1200,OFAV_2.3,SUMP,2413.9,2535.25,-89.75,8.06,,ET,
3/7/25,4,1200,OFAV_2.4,SUMP,2535,2648.1,-112.50,8.13,,ET,
3/7/25,4,1200,OFAV_2.5,SUMP,2569.15,2630.2,-247.90,8.05,,ET,
3/10/25,5,1200,OFAV_1.1,SUMP,2256.9,2347.15,461.55,8.08,,RH,
3/10/25,5,1200,OFAV_1.2,SUMP,2613.35,2591.7,4.55,8.22,,RH,
3/10/25,5,1200,OFAV_1.3,SUMP,2487.7,2635.3,-90.55,8.14,,RH,
3/10/25,5,1200,OFAV_1.4,SUMP,2445.5,2572.65,137.85,8.11,,RH,
3/10/25,5,1200,OFAV_1.5,SUMP,2535.6,2664.4,-333.10,8.17,,RH,
3/10/25,5,1200,OFAV_2.1,SUMP,2382.3,2260.75,424.50,8.17,,RH,
3/10/25,5,1200,OFAV_2.2,SUMP,2808.7,2772.45,-262.30,8.12,,RH,
3/10/25,5,1200,OFAV_2.3,SUMP,2596.25,2771.75,-375.10,8.12,,RH,
3/10/25,5,1200,OFAV_2.4,SUMP,2544.75,2815.65,-174.75,8.09,,RH,
3/10/25,5,1200,OFAV_2.5,SUMP,2710.5,2813.25,-651.40,8.09,,RH,
3/12/25,5,1200,OFAV_1.1,SUMP,2331.3,2323.15,196.25,8.12,,JW,
3/12/25,5,1200,OFAV_1.2,SUMP,2685.25,2661.75,-263.75,8.21,,JW,
3/12/25,5,1200,OFAV_1.3,SUMP,2510.15,2661,-420.55,8.14,,JW,
3/12/25,5,1200,OFAV_1.4,SUMP,2396.65,2602.35,-249.45,8.13,,JW,
3/12/25,5,1200,OFAV_1.5,SUMP,2640.9,2707.4,-519.50,8.17,,JW,
3/12/25,5,1200,OFAV_2.1,SUMP,2161.85,2240.5,331.10,8.18,,JW,
3/12/25,5,1200,OFAV_2.2,SUMP,2519.4,2344.45,124.25,8.19,,JW,
3/12/25,5,1200,OFAV_2.3,SUMP,2398,2394.1,-34.25,8.17,,JW,
3/12/25,5,1200,OFAV_2.4,SUMP,2240.45,2582.3,-85.05,8.16,,JW,
3/12/25,5,1200,OFAV_2.5,SUMP,2352.9,2609.6,-37.10,8.11,,JW,
3/26/25,1,1200,OFAV_3.1,SUMP,2187.9,2160.35,420.05,8.21,,MDC,
3/26/25,1,1200,OFAV_3.2,SUMP,2571.6,2463.75,85.35,8.21,,MDC,
3/26/25,1,1200,OFAV_3.3,SUMP,2468.7,2587,-47.85,8.18,,MDC,
3/26/25,1,1200,OFAV_3.4,SUMP,2359.85,2558.7,-8.20,8.25,,MDC,
3/26/25,1,1200,OFAV_3.5,SUMP,2497.25,2626.25,-26.70,8.22,,MDC,
3/26/25,1,1200,OFAV_69.1,SUMP,2572.5,2199.6,412.20,8.2,,MDC,
3/26/25,1,1200,OFAV_69.2,SUMP,2580.4,2499.8,-57.25,8.22,,MDC,
3/26/25,1,1200,OFAV_69.3,SUMP,2549.1,2545.15,-129.25,8.2,,MDC,
3/26/25,1,1200,OFAV_69.4,SUMP,2539.15,2320.7,119.70,8.22,,MDC,
3/26/25,1,1200,OFAV_69.5,SUMP,2550.5,2488.4,-1.10,8.18,,MDC,
3/28/25,1,1200,OFAV_3.1,SUMP,2599.55,2549,-50.20,8.13,,MDC,
3/28/25,1,1200,OFAV_3.2,SUMP,2611.8,2479.7,-288.75,8.18,,MDC,
3/28/25,1,1200,OFAV_3.3,SUMP,2442.55,2501.55,-68.95,8.16,,MDC,
3/28/25,1,1200,OFAV_3.4,SUMP,2415.9,2149.8,275.50,8.19,,MDC,
3/28/25,1,1200,OFAV_3.5,SUMP,2440.4,2363.15,51.35,8.18,,MDC,
3/28/25,1,1200,OFAV_69.1,SUMP,2487.3,2388.2,108.60,8.16,,MDC,
3/28/25,1,1200,OFAV_69.2,SUMP,2498.8,2319.8,-86.35,8.17,,MDC,
3/28/25,1,1200,OFAV_69.3,SUMP,2190.95,2387,157.70,8.16,,MDC,
3/28/25,1,1200,OFAV_69.4,SUMP,2432.6,2257.95,281.15,8.2,,MDC,
3/28/25,1,1200,OFAV_69.5,SUMP,2425.3,2433.9,148.65,8.13,,MDC,
3/31/25,2,1200,OFAV_3.1,SUMP,2414.5,2406.55,169.10,8.09,,JW,
3/31/25,2,1200,OFAV_3.2,SUMP,2496.8,2366.45,-124.40,8.16,,JW,
3/31/25,2,1200,OFAV_3.3,SUMP,2233.45,2395.8,274.95,8.14,,JW,
3/31/25,2,1200,OFAV_3.4,SUMP,2544.7,2267,387.90,8.17,,JW,
3/31/25,2,1200,OFAV_3.5,SUMP,2539.1,2525.35,172.35,8.16,,JW,
3/31/25,2,1200,OFAV_69.1,SUMP,2582.55,2493.8,211.60,8.17,,JW,
3/31/25,2,1200,OFAV_69.2,SUMP,2575.65,2427.75,-224.85,8.15,,JW,
3/31/25,2,1200,OFAV_69.3,SUMP,2242.05,2452.5,197.55,8.17,,JW,
3/31/25,2,1200,OFAV_69.4,SUMP,2670.75,2285.7,373.85,8.16,,JW,
3/31/25,2,1200,OFAV_69.5,SUMP,2654.9,2643.8,-8.40,8.1,,JW,
4/2/25,2,1200,OFAV_3.1,SUMP,2697.7,2552.8,89.35,8.11,,JW,
4/2/25,2,1200,OFAV_3.2,SUMP,2705.4,2473.55,22.70,8.19,,JW,
4/2/25,2,1200,OFAV_3.3,SUMP,2202.9,2586.85,71.20,8.17,,JW,
4/2/25,2,1200,OFAV_3.4,SUMP,2650.05,2536.45,51.90,8.21,,JW,
4/2/25,2,1200,OFAV_3.5,SUMP,2659.55,2638.6,-42.45,8.19,,JW,
4/2/25,2,1200,OFAV_69.1,SUMP,2635.4,2559.8,46.20,8.24,,JW,
4/2/25,2,1200,OFAV_69.2,SUMP,2642.15,2588.7,-214.60,8.17,,JW,
4/2/25,2,1200,OFAV_69.3,SUMP,2496.25,2659.75,-49.95,8.24,,JW,
4/2/25,2,1200,OFAV_69.4,SUMP,2658.05,2398.75,249.10,8.18,,JW,
4/2/25,2,1200,OFAV_69.5,SUMP,2588.35,2620.45,29.40,8.12,,JW,
4/4/25,2,1200,OFAV_3.1,SUMP,2596.15,2527.85,131.00,8.08,,JW,
4/4/25,2,1200,OFAV_3.2,SUMP,2606,2493.65,-208.40,8.17,,JW,
4/4/25,2,1200,OFAV_3.3,SUMP,2374.1,2647.15,143.10,8.17,,JW,
4/4/25,2,1200,OFAV_3.4,SUMP,2609.8,2289.9,517.75,8.18,,JW,
4/4/25,2,1200,OFAV_3.5,SUMP,2647.85,2637.1,162.20,8.17,,JW,
4/4/25,2,1200,OFAV_69.1,SUMP,2649.85,2524.75,282.75,8.2,,JW,
4/4/25,2,1200,OFAV_69.2,SUMP,2658.85,2450.65,-95.25,8.15,,JW,
4/4/25,2,1200,OFAV_69.3,SUMP,2285.25,2590.95,87.50,8.2,,JW,
4/4/25,2,1200,OFAV_69.4,SUMP,2790.25,2406.15,295.60,8.17,,JW,
4/4/25,2,1200,OFAV_69.5,SUMP,2807.65,2813.55,-114.20,8.1,,JW,
4/7/25,3,1200,OFAV_3.1,SUMP,2799.3,2646.45,55.30,8,,JW,
4/7/25,3,1200,OFAV_3.2,SUMP,2807.5,2555.55,-266.25,8.22,,JW,
4/7/25,3,1200,OFAV_3.3,SUMP,2355.4,2711.05,-259.25,8.2,,JW,
4/7/25,3,1200,OFAV_3.4,SUMP,2678.45,2360,254.35,8.21,,JW,
4/7/25,3,1200,OFAV_3.5,SUMP,2701.75,2694.35,-79.35,8.12,,JW,
4/7/25,3,1200,OFAV_69.1,SUMP,2699.35,2548.15,-1109.75,8.19,,JW,
4/7/25,3,1200,OFAV_69.2,SUMP,2701.75,2468.7,-326.70,8.18,,JW,
4/7/25,3,1200,OFAV_69.3,SUMP,2289.3,2645.9,-117.20,8.19,,JW,
4/7/25,3,1200,OFAV_69.4,SUMP,2451.8,2174.45,414.15,8.21,,JW,
4/7/25,3,1200,OFAV_69.5,SUMP,2614.35,2485.45,180.40,8.09,,JW,
4/9/25,3,1200,OFAV_3.1,SUMP,2615,2435.55,215.90,8.17,,JW,
4/9/25,3,1200,OFAV_3.2,SUMP,1438.4,2296.5,-17.25,8.22,,JW,
4/9/25,3,1200,OFAV_3.3,SUMP,2142,2355.85,97.50,8.2,,JW,
4/9/25,3,1200,OFAV_3.4,SUMP,2528.7,2239.95,317.35,8.2,,JW,
4/9/25,3,1200,OFAV_3.5,SUMP,2588.6,2584.55,-55.10,8.18,,JW,
4/9/25,3,1200,OFAV_69.1,SUMP,2665.85,2503.4,-8.10,8.19,,JW,
4/9/25,3,1200,OFAV_69.2,SUMP,2651.45,2378.25,156.75,8.19,,JW,
4/9/25,3,1200,OFAV_69.3,SUMP,2279.25,2500.45,-153.30,8.19,,JW,
4/9/25,3,1200,OFAV_69.4,SUMP,2453.35,2630.2,-38.50,8.22,,JW,
4/9/25,3,1200,OFAV_69.5,SUMP,2557.3,2368.45,266.85,8.16,,JW,
4/11/25,3,1200,OFAV_3.1,SUMP,2529.45,2559.2,13.45,8.06,,JW,
4/11/25,3,1200,OFAV_3.2,SUMP,2495.3,2503.65,160.75,8.18,,JW,
4/11/25,3,1200,OFAV_3.3,SUMP,2535,2413.9,-153.15,8.11,,JW,
4/11/25,3,1200,OFAV_3.4,SUMP,2347.15,2569.15,203.30,8.17,,JW,
4/11/25,3,1200,OFAV_3.5,SUMP,2591.7,2256.9,514.85,8.12,,JW,
4/11/25,3,1200,OFAV_69.1,SUMP,2635.3,2613.35,202.30,8.15,,JW,
4/11/25,3,1200,OFAV_69.2,SUMP,2572.65,2487.7,325.55,8.11,,JW,
4/11/25,3,1200,OFAV_69.3,SUMP,2664.4,2445.5,-122.35,8.15,,JW,
4/11/25,3,1200,OFAV_69.4,SUMP,2260.75,2535.6,126.15,8.17,,JW,
4/11/25,3,1200,OFAV_69.5,SUMP,2772.45,2382.3,278.70,8.08,,JW,
4/14/25,4,1200,OFAV_3.1,SUMP,2771.75,2808.7,-206.35,8.13,,JW,
4/14/25,4,1200,OFAV_3.2,SUMP,2815.65,2596.25,111.15,8.22,,JW,
4/14/25,4,1200,OFAV_3.3,SUMP,2813.25,2544.75,-304.25,8.22,,JW,
4/14/25,4,1200,OFAV_3.4,SUMP,2323.15,2710.5,-366.05,8.22,,JW,
4/14/25,4,1200,OFAV_3.5,SUMP,2661.75,2331.3,62.80,8.18,,JW,
4/14/25,4,1200,OFAV_69.1,SUMP,2661,2685.25,-102.95,8.22,,JW,
4/14/25,4,1200,OFAV_69.2,SUMP,2602.35,2510.15,99.45,8.2,,JW,
4/14/25,4,1200,OFAV_69.3,SUMP,2707.4,2396.65,-236.30,8.22,,JW,
4/14/25,4,1200,OFAV_69.4,SUMP,2240.5,2640.9,-177.15,8.23,,JW,
4/14/25,4,1200,OFAV_69.5,SUMP,2344.45,2161.85,425.15,8.14,,JW,
4/16/25,4,1200,OFAV_3.1,SUMP,2394.1,2519.4,39.30,8.08,,RBT,
4/16/25,4,1200,OFAV_3.2,SUMP,2582.3,2398,228.25,8.26,,RBT,
4/16/25,4,1200,OFAV_3.3,SUMP,2609.6,2240.45,-40.85,8.26,,RBT,
4/16/25,4,1200,OFAV_3.4,SUMP,2160.35,2352.9,-21.60,8.25,,RBT,
4/16/25,4,1200,OFAV_3.5,SUMP,2463.75,2187.9,497.35,8.2,,RBT,
4/16/25,4,1200,OFAV_69.1,SUMP,2587,2571.6,-61.45,8.25,,RBT,
4/16/25,4,1200,OFAV_69.2,SUMP,2558.7,2468.7,-72.05,8.2,,RBT,
4/16/25,4,1200,OFAV_69.3,SUMP,2626.25,2359.85,281.05,8.25,,RBT,
4/16/25,4,1200,OFAV_69.4,SUMP,2199.6,2497.25,-335.40,8.26,,RBT,
4/16/25,4,1200,OFAV_69.5,SUMP,2331.3,2323.15,196.25,8.13,,RBT,
4/17/25,4,1200,OFAV_3.1,SUMP,2685.25,2661.75,-263.75,8.13,,RBT,
4/17/25,4,1200,OFAV_3.2,SUMP,2510.15,2661,-420.55,8.26,,RBT,
4/17/25,4,1200,OFAV_3.3,SUMP,2396.65,2602.35,-249.45,8.27,,RBT,
4/17/25,4,1200,OFAV_3.4,SUMP,2640.9,2707.4,-519.50,8.25,,RBT,
4/17/25,4,1200,OFAV_3.5,SUMP,2161.85,2240.5,331.10,8.21,,RBT,
4/17/25,4,1200,OFAV_69.1,SUMP,2519.4,2344.45,124.25,8.25,,RBT,
4/17/25,4,1200,OFAV_69.2,SUMP,2398,2394.1,-34.25,8.21,,RBT,
4/17/25,4,1200,OFAV_69.3,SUMP,2240.45,2582.3,-85.05,8.25,,RBT,
4/17/25,4,1200,OFAV_69.4,SUMP,2352.9,2609.6,-174.05,8.27,,RBT,
4/17/25,4,1200,OFAV_69.5,SUMP,2187.9,2160.35,136.15,8.16,,RBT,
4/21/25,5,1200,OFAV_3.1,SUMP,2571.6,2463.75,-107.90,8.13,,RBT,
4/21/25,5,1200,OFAV_3.2,SUMP,2468.7,2587,-347.05,8.2,,RBT,
4/21/25,5,1200,OFAV_3.3,SUMP,2359.85,2558.7,25.85,8.2,,RBT,
4/21/25,5,1200,OFAV_3.4,SUMP,2497.25,2626.25,-122.85,8.2,,RBT,
4/21/25,5,1200,OFAV_3.5,SUMP,2435.55,2199.6,178.65,8.16,,RBT,
4/21/25,5,1200,OFAV_69.1,SUMP,2296.5,2615,-114.55,8.19,,RBT,
4/21/25,5,1200,OFAV_69.2,SUMP,2355.85,1438.4,1146.15,8.15,,RBT,
4/21/25,5,1200,OFAV_69.3,SUMP,2239.95,2142,361.40,8.19,,RBT,
4/21/25,5,1200,OFAV_69.4,SUMP,2584.55,2528.7,-150.45,8.19,,RBT,
4/21/25,5,1200,OFAV_69.5,SUMP,2503.4,2588.6,-88.15,8.07,,RBT,
4/23/25,5,1200,OFAV_3.1,SUMP,2378.25,2665.85,-287.60,8.19,,MDC,
4/23/25,5,1200,OFAV_3.2,SUMP,2500.45,2651.45,-151.00,8.25,,MDC,
4/23/25,5,1200,OFAV_3.3,SUMP,2584.55,2279.25,221.20,8.24,,MDC,
4/23/25,5,1200,OFAV_3.4,SUMP,2503.4,2588.6,-309.35,8.25,,MDC,
4/23/25,5,1200,OFAV_3.5,SUMP,2378.25,2665.85,-287.60,8.22,,MDC,
4/23/25,5,1200,OFAV_69.1,SUMP,2500.45,2651.45,-151.00,8.18,,MDC,
4/23/25,5,1200,OFAV_69.2,SUMP,2378.25,2279.25,99.00,8.15,,MDC,
4/23/25,5,1200,OFAV_69.3,SUMP,2500.45,2651.45,-151.00,8.23,,MDC,
4/23/25,5,1200,OFAV_69.4,SUMP,2500.45,2279.25,221.20,8.26,,MDC,
4/23/25,5,1200,OFAV_69.5,SUMP,2279.25,2279.25,0.00,8.18,,MDC,