Crucible number,Site,Crucible mass,Mass 1 (moisture),Mass 2 (organic),Mass 3 (carbonate),Mass 4 (terrigenous)
1,DCC,12.0712,11.99056438,8.021687573,7.449741249,3.046944171
2,DCC,12.0699,11.99856689,7.631088543,7.195353387,3.072415896
3,DCC,12.0711,11.99951838,8.399662864,7.232109726,3.218288828
4,DCC,12.0714,12.00174802,8.257202639,6.878249798,3.335951152
5,DCC,12.0691,12.00428893,7.838800673,6.615947768,3.255046302
6,3N,12.0692,12.01597483,10.51397797,6.676376014,3.298129751
7,3N,12.0711,12.01967711,10.58933554,6.448905342,3.314737346
8,3N,12.0716,12.01136272,10.79821508,7.321189825,3.133469245
9,3N,12.0681,12.01584513,10.40572188,6.97183366,3.262818153
10,3N,12.0701,12.01976768,10.58941533,6.766636395,3.275052015